
[SOI]
Warped Landscape,2
Explosive Apparatus,6
Shard of Broken Glass,3
True-Faith Cencer,5
Wicker Witch,3
Strength of Arms,2
Thraben Inspector,4
Stern Constable,8
Chaplain's Blessing,3
Expose Evil,2
Vessel of Ephemera,6
Moorland Drifter,4
Devilthorn Fox,4
Unruly Mob,3
Puncturing Light,3
Militant Inquisitor,6
Angelic Purge,2
Cathar's Companion,3
Ethereal Guidance,5
Survive the Night,2
Dauntless Cathar,1
Inquisitor's Ox,4
Inspiring Captain,2
Apothecary Geist,1
Emissary of the Sleepless,2
Confront the Unknown,2
Loam Dryad,8
Vessel of Nascency,4
Aim High,3
Clip Wings,5
Rabid Bite,4
Fork in the Road,4
Hinterland Logger,5
Quilled Wolf,4
Moldgraf Scavenger,5
Stoic Builder,9
Byway Courier,4
Root Out,4
Intrepid Provisioner,3
Equestrian Skill,6
Might Beyond Reason,2
Solitary Hunter,1
Watcher in the Web,3
Thornhide Wolves,4
Kessig Dire Swine,6
Furtive Homunculus,1
Just the Wind,2
Seagraf Scaab,3
Vessel of Paramnesia,3
Nagging Thoughts,3
Press for Answers,4
Jace's Scrutiny,2
Ghostly Wings,4
Stitched Mangler,3
Niblis of Dusk,2
Catalog,2
Deny Existence,3
Pieces of the Puzzle,5
Silent Observer,4
Sleep Paralysis,5
Drownyard Explorers,5
Gone Missing,5
Stormrider Spirit,3
Lamplighter of Selhoff,4
Silburlind Snapper,7
Sanitarium Skeleton,3
Shamble Back,6
Dead Weight,7
Macabre Waltz,5
Ghoulcaller's Accomplice,6
Grotesque Mutation,6
Murderous Compulsion,4
Rancid Rats,5
Vessel of Malignity,4
Merciless Resolve,5
Farbog Revenant,4
Vampire Noble,5
Alms of the Vein,4
Crow of Dark Tidings,9
Stromkirk Mentor,3
Stallion of Ashmouth,6
Rottenheart Ghoul,6
Throttle,2
Hound of the Farbogs,5
Twins of Maurer Estate,1
Rush of Adrenaline,3
Insolent Neonate,2
Dual Shot,2
Senseless Rage,2
Sanguinary Mage,6
Ember-Eye Wolf,4
Magmatic Chasm,3
Vessel of Volatility,5
Tormenting Voice,4
Convicted Killer,4
Bloodmad Vampire,2
Uncaged Fury,1
Howlpack Wolf,2
Fiery Temper,2
Pyre Hound,1
Structural Distortion,4
Hulking Devil,4
Voldaren Duelist,4
Gatstaf Arsonists,3
Reduce to Ashes,3
Highland Lake,1
Stone Quarry,1
Forsaken Sanctuary,2
Runaway Carriage,2
Murderer's Axe,1
Wild-Field Scarecrow,2
Harvest Hand,3
Neglected Heirloom,2
Thraben Gargoyle,1
Epitaph Golem,3
Skeleton Key,5
Haunted Cloak,1
Town Gossipmonger,3
Topplegeist,2
Gryff's Boon,4
Nahiri's Machinations,2
Open the Armory,2
Not Forgotten,1
Reaper of Flight Moonsilver,4
Silverstrike,3
Avacynian Missionaries,2
Spectral Shepherd,2
Hope Against Hope,1
Bound by Moonsilver,3
Groundskeeper,2
Lambholt Pacifist // Lambholt Butcher,3
Moonlight Hunt,2
Obsessive Skinner,2
Veteran Cathar,1
Crawling Sensation,3
Howlpack Resurgence,4
Autumnal Gloom,4
Briarbridge Patrol,5
Graf Mole,5
Weirding Wood,1
Gloomwidow,1
Hermit of the Natterknolls // Lone Wolf of the Natterknolls,3
Ulvenwald Mysteries,3
Reckless Scholar,3
Trail of Evidence,3
Broken Concentration,3
Erdwal Illuminator,3
compelling Deterrence,1
Drunau Corpse Trawler,3
Pore Over the Pages,1
Stitchwing Skaab,1
Daring Sleuth,4
Ongoing Investigation,3
Invasive Surgery,1
Essence Flux,2
Cult of the Waxing Moon,2
Pack Guardian,3
Sinister Concoction,4
Liliana's Indignation,1
Call the Bloodline,1
Heir of Falkenrath,4
Pale Rider of Trostad,2
Olivia's Bloodsworn,2
Pick the Brain,3
Kindly Stranger,1
Tooth Collector,2
Behind the Scenes,2
Biting Rain,6
Accursed Witch,4
Creeping Dread,2
Gisa's Bidding,4
Ghoulsteed,4
Morkrut Necropod,3
Lightning Axe,2
Skin Invasion,1
Village Messenger,1
Gibbering Fiend,
Ravenous Bloodseeker,2
Breakneck Rider,1
Stensia Masquerade,2
Geistblast,1
Dance with Devils,5
Dance with Devils (Foil),1
Malevolent Whispers, 2
Mad Prophet,1
Inner Struggle,3
Spiteful Motives,3
Dessension in the Ranks,2
Incorrigible Youths,1

